"char_id","char_name","char_bd","char_oc","char_img","char_status","char_nickname","char_appearance","char_portrayed","char_category","char_bcs_a"
"37","Bogdan Wolynetz","Unknown","Former owner of A1A Car Wash","https://i.pinimg.com/originals/d5/c0/34/d5c0345ae70fbdbaa33b7537d685da54.jpg","Alive","Bogdan","1,3,4,","Marius Stan","Breaking Bad","None"
"38","Ken","Unknown","Stock Broker","https://vignette.wikia.nocookie.net/breakingbad/images/8/8c/Ken.png/revision/latest?cb=20170721163649","Alive","Ken Wins","1","Kyle Bornheimer","Breaking Bad","None"
"39","Holly White","Unknown","Infant","https://pmctvline2.files.wordpress.com/2013/09/breaking-bad-elanor-anne-wenrich-325.jpg?w=325&h=240","Alive","Holly","2,3,4,5,","Unknown","Breaking Bad","None"
"40","George Merkert","Unknown","Former Head of Albuquerque DEA","https://m.media-amazon.com/images/M/MV5BMTkwMTkxNjUzM15BMl5BanBnXkFtZTgwMTg5MTczMTE@._V1_UY317_CR175,0,214,317_AL_.jpg","Alive","ASAC Merkert","2,3,4,5,","Michael Shamus Wiles","Breaking Bad","None"
"41","Donald Margolis","Unknown","Air-Traffic Controller,Landlord,","https://vignette.wikia.nocookie.net/breakingbad/images/1/12/Donald_Margolis.png/revision/latest?cb=20120802212034","Unknown","Jane's dad","2,3,","John de Lancie","Breaking Bad","None"
"42","Clovis","Unknown","Mechanic","https://vignette.wikia.nocookie.net/breakingbad/images/0/0f/Clovis.JPG/revision/latest?cb=20100415221013","Alive","Clovis","2,3,","Tom Kiesche","Breaking Bad","None"
"43","SAC Ramey","Unknown","DEA agent","https://res.cloudinary.com/dwvrok1le/image/upload/v1539360786/o7thsjdorobfbetqaefj.jpg","Alive","SAC Ramey","2,4,5,","Todd Terry","Breaking Bad","None"
"44","Victor","Unknown","Henchman of Gustavo Fring","https://vignette.wikia.nocookie.net/breakingbad/images/4/48/Victor2.png/revision/latest?cb=20131009225027","Deceased","Victor","2,3,4,","Jeremiah Bitsui","Breaking Bad","None"
"45","Tomás Cantillo","Unknown","Kid,Gang member for a rival dealer in ABQ,","https://vignette.wikia.nocookie.net/breakingbad/images/e/ec/Tomas.png/revision/latest?cb=20130131043014","Deceased","Andrea's brother","2,3,","Angelo Martinez","Breaking Bad","None"
"46","Francesca Liddy","Unknown","Department of Motor Vehicles,Secretary for Saul Go","https://res.cloudinary.com/dwvrok1le/image/upload/v1539362182/o9mstjonfn6dsdi3uij6.jpg","Alive","Honey Tits","2,3,4,5,","Tina Parker","Breaking Bad, Better Call Saul","3,4,"
"47","Cynthia","Unknown","Los Pollos Hermanos Manager","https://res.cloudinary.com/dwvrok1le/image/upload/v1539362375/z63youp272k5mbqbuqj9.jpg","Alive","Cynthia","2,3,4,","Ashley Kajiki","Breaking Bad","None"
"48","Tortuga","Unknown","Juarez Cartel member,DEA informant,","https://vignette.wikia.nocookie.net/breakingbad/images/5/58/BBWA_Tortuga.jpg/revision/latest?cb=20131101172007","Deceased","Tortuga","2,3,","Danny Trejo","Breaking Bad","None"
"49","Tim Roberts","Unknown","Detective for the APD","https://vignette.wikia.nocookie.net/breakingbad/images/8/8d/2x02_-_Tim_Roberts.jpg/revision/latest?cb=20110927053954","Alive","Detective Roberts","2,4,","Nigel Gibbs","Breaking Bad","None"
"50","Juan Bolsa","Unknown","Mexican drug cartel boss","https://vignette.wikia.nocookie.net/breakingbad/images/3/38/Bolsa.png/revision/latest?cb=20180825204033","Deceased","Don Juan","3,4,","Javier Grajeda","Breaking Bad","None"
"51","Group Leader","Unknown","Drug & Alcohol Rehabilitation Counselor","https://vignette.wikia.nocookie.net/breakingbad/images/8/81/Group_Leader_Brown_Shirt_-_Kafkaesque.png/revision/latest?cb=20131025095333","Alive","Counselor","3,4,","Jere Burns","Breaking Bad","None"
"52","Kaylee Ehrmantraut","Unknown","Kid","https://vignette.wikia.nocookie.net/breakingbad/images/c/cc/Kaylee.png/revision/latest?cb=20170810082843","Alive","Mike's Granddaughter","3,5,","Kaija Rose Bales","Breaking Bad","None"
"53","Pamela","Unknown","Attorney","https://res.cloudinary.com/dwvrok1le/image/upload/v1539373707/bbb6muek0tcmbc3g2sog.jpg","Alive","Skyler's attorney","3","Julie Dretzin","Breaking Bad","None"
